id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12963368,38- Une jolie chambre indépendante,26466415,Pierre,Lausanne,Lausanne,46.56215,6.69803,Private room,49,30,12,2021-07-31,0.13,10,332,0,
12983505,"flat sharing, view on lake and middle town, wifi",71494217,Jérémy,Lausanne,Lausanne,46.52749,6.64161,Entire home/apt,,27,1,2016-09-01,0.01,1,0,0,
12984457,Luxury Swiss Chalet 50m from Piste,71492909,Ian,Aigle,Gryon,46.29086187689895,7.085057580091702,Entire home/apt,1034,3,72,2024-03-05,0.82,1,298,18,
13008046,Charmant chalet avec jardin pour 5 personnes,8297662,Fanny,Aigle,Ormont-Dessous,46.395809173583984,7.1031270027160645,Entire home/apt,140,1,13,2023-09-30,0.62,1,207,10,
13023644,Appartement lumineux,36791108,Anthony,Riviera-Pays-d'Enhaut,Vevey,46.45967,6.84747,Entire home/apt,,5,16,2022-09-01,0.17,2,0,0,
13027256,"Centre Vevey, 1 ou 2 pièces, jardin, grand calme",42844466,Anne,Riviera-Pays-d'Enhaut,Vevey,46.46352,6.84755,Entire home/apt,80,2,88,2024-03-03,0.96,1,134,13,
13037017,La grange,72079502,Emmanuelle Et Guy-Bertrand,Aigle,Ollon,46.29161,7.02402,Entire home/apt,,7,0,,,1,0,0,
13055394,Great apartment in Lausanne !,72282275,Claudine,Lausanne,Lausanne,46.51338,6.63268,Entire home/apt,145,10,25,2024-01-06,0.27,1,40,7,
13057350,Room between  Montreux and Vevey,72115797,Gilbert,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.44926,6.87948,Private room,57,1,24,2023-12-09,0.25,1,38,2,
13059762,"Individual appartment, city center 15 min",48457721,Norbert,Lausanne,Epalinges,46.54623,6.65823,Entire home/apt,,3,33,2018-06-15,0.35,1,0,0,
13061001,"Appartement lumineux avec vue, Vevey, Riviera, CH",72342064,Séverine,Riviera-Pays-d'Enhaut,Corseaux,46.47067,6.83013,Entire home/apt,,3,11,2023-05-21,0.12,1,0,3,
13076483,Chambre Crocus/Chalet 'La Croisée',72507201,Evelyne,Aigle,Ormont-Dessus,46.35567,7.11794,Private room,140,1,6,2024-01-02,0.07,3,349,1,
13086429,Les Arpents-Verts,65763278,Pierre Jean,Broye-Vully,Lucens,46.68432,6.8512,Entire home/apt,80,2,61,2023-08-26,0.65,1,269,9,
13107580,Big villa in Sainte-croix,14093337,Maoan,Jura-Nord vaudois,Sainte-Croix,46.82579,6.50299,Entire home/apt,211,2,22,2024-02-12,0.24,3,362,1,
13110115,Apt terrasse en plein centre de Montreux,72882213,Sylvana,Riviera-Pays-d'Enhaut,Montreux,46.43233,6.91261,Entire home/apt,,1,0,,,1,0,0,
13121789,Charming sunny flat near the train station,1819679,Herve,Lausanne,Lausanne,46.51565,6.62615,Entire home/apt,,5,2,2016-10-29,0.02,1,0,0,
13122403,Chalet La Croisée,72507201,Evelyne,Aigle,Ormont-Dessus,46.35739,7.11653,Entire home/apt,320,7,4,2022-01-03,0.05,3,362,0,
13126821,"Apt. 22A, Résidence Chalet RoyAlp, Villars, Suisse",73073209,Alla,Aigle,Ollon,46.29825,7.05683,Entire home/apt,350,2,3,2020-12-23,0.05,1,78,0,
